"model","term","estimate","std.error","statistic","p.value","conf.low","conf.high","pct_effect","pct_low","pct_high"
"descriptive_without_occupation_fixed_effects","(Intercept)","6.699093762925172","0.02327738551765254","287.79408056136185","0","6.653467283593061","6.744720242257284","810.6699263887127","774.4684385495151","848.561422043345"
"descriptive_without_occupation_fixed_effects","sexMulher","-0.25063204303781067","0.0038981377420762497","-64.29532756949669","0","-0.25827286253567416","-0.24299122353994718","-0.22169129701709867","-0.22761555142838164","-0.2157216030706275"
"descriptive_without_occupation_fixed_effects","race_groupOutra/sem informacao","0.06019778549708694","0.11444722680512216","0.5259872797056953","0.5989047375408312","-0.164132563995185","0.284528134989359","0.06204658318495904","-0.15137048329586256","0.32913470796478017"
"descriptive_without_occupation_fixed_effects","race_groupPreta/parda/indigena","-0.13061321266536963","0.004799671069897976","-27.212950796677408","2.9728305617734923e-159","-0.14002114607376542","-0.12120527925697383","-0.12244286325781051","-0.1306601479202003","-0.11414790613273407"
"descriptive_without_occupation_fixed_effects","educationFundamental incompleto ou equivalente","-0.1306673421433856","0.00876867087506369","-14.901613255319784","7.24925497642906e-50","-0.14785499322850307","-0.11347969105826812","-0.12249036368195343","-0.13744381763874614","-0.10727767352720563"
"descriptive_without_occupation_fixed_effects","educationMédio completo ou equivalente","0.16860301628725793","0.007507841059287925","22.456924028603364","6.734224876324197e-110","0.1538867435056521","0.18331928906886377","0.1836501558088799","0.16635878159094064","0.2011978762103983"
"descriptive_without_occupation_fixed_effects","educationMédio incompleto ou equivalente","-0.04040223205882649","0.010001395378528198","-4.03965952046704","5.379256289096585e-5","-0.060006171650093275","-0.02079829246755969","-0.03959694344894171","-0.058241278638987315","-0.0205834996679225"
"descriptive_without_occupation_fixed_effects","educationSem instrução e menos de 1 ano de estudo","-0.32065394161803035","0.019231307135311345","-16.673538587986318","7.254621320822964e-62","-0.35834961997818554","-0.28295826325787515","-0.2743256667713271","-0.3011712921863927","-0.24644876202290278"
"descriptive_without_occupation_fixed_effects","educationSuperior completo","0.9667922908923557","0.010057695222676064","96.12463586216327","0","0.9470779968253483","0.9865065849593632","1.6294962578168373","1.5781652352660314","1.6818492761032422"
"descriptive_without_occupation_fixed_effects","educationSuperior incompleto ou equivalente","0.3255539433349189","0.0112458933862542","28.948695506294044","2.1231935132732805e-179","0.3035106377510537","0.3475972489187841","0.38479753291875984","0.3546060008267957","0.41566197551717643"
"descriptive_without_occupation_fixed_effects","informal_proxyInformal/autonomo proxy","-0.20413213329929203","0.0055824377589312035","-36.56684447089555","1.2533936729587677e-280","-0.21507438370097537","-0.1931898828976087","-0.1846453714279105","-0.19351855112876815","-0.17567456602454723"
"descriptive_without_occupation_fixed_effects","hours_capped","0.022505687291643716","2.7138833791429383e-4","82.92798233191272","0","0.021973733461114416","0.023037641122173016","0.022760850887145967","0.022216934016958678","0.023305057172966936"
"weighted_lm_with_occupation_fixed_effects_sensitivity","(Intercept)","6.994470404789833","0.1060839244537705","65.93336776334948","0","6.786548606487211","7.202392203092455","1089.585955668489","884.8508596653688","1341.6387904061414"
"weighted_lm_with_occupation_fixed_effects_sensitivity","sexMulher","-0.19082171065672462","0.0033138501013736626","-57.5830845751366","0","-0.1973167727118921","-0.18432664860155715","-0.1737201080812505","-0.17906945627442017","-0.16833590246157815"
"weighted_lm_with_occupation_fixed_effects_sensitivity","race_groupOutra/sem informacao","0.1341400818874473","0.1602625611687693","0.8370019854243255","0.40259234779965936","-0.17997046870135192","0.4482506324762465","0.14355299948780176","-0.16470512161044082","0.5655710294295206"
"weighted_lm_with_occupation_fixed_effects_sensitivity","race_groupPreta/parda/indigena","-0.09227665617337914","0.0028317883984127525","-32.58599979613632","2.28458754503478e-232","-0.09782688953099843","-0.08672642281575986","-0.08814715507287785","-0.0931941322434664","-0.08307208812093014"
"weighted_lm_with_occupation_fixed_effects_sensitivity","educationFundamental incompleto ou equivalente","-0.09726439805357162","0.006047996171198534","-16.08208657881751","3.673941118849039e-58","-0.10911831698160837","-0.08541047912553487","-0.0926839181890966","-0.1033756746617035","-0.08186466834692674"
"weighted_lm_with_occupation_fixed_effects_sensitivity","educationMédio completo ou equivalente","0.1050891529189358","0.005594368887214103","18.78480933910462","1.1566202666545787e-78","0.09412433194924504","0.11605397388862655","0.11080963786294151","0.09869634048310405","0.12305648622315979"
"weighted_lm_with_occupation_fixed_effects_sensitivity","educationMédio incompleto ou equivalente","-0.03184585909184835","0.007195610930333265","-4.425733881413931","9.616038881978665e-6","-0.045949073808163626","-0.01774264437553308","-0.03134411993052155","-0.04490939992064635","-0.017586170447895122"
"weighted_lm_with_occupation_fixed_effects_sensitivity","educationSem instrução e menos de 1 ano de estudo","-0.23065534779496752","0.011693262723118469","-19.725490930683048","1.5445593628851731e-86","-0.25357384582315196","-0.2077368497667831","-0.2059869227599228","-0.22397756320644968","-0.1875792026925881"
"weighted_lm_with_occupation_fixed_effects_sensitivity","educationSuperior completo","0.5004791303255626","0.006707839249871662","74.61107991446545","0","0.4873319357177121","0.513626324933413","0.6495114123346142","0.6279669000641206","0.6713410446581964"
"weighted_lm_with_occupation_fixed_effects_sensitivity","educationSuperior incompleto ou equivalente","0.16867018038803033","0.0074476777542402724","22.647352094684734","1.990307457598233e-113","0.1540729210972045","0.18326743967885617","0.1837296572770164","0.16657595167525763","0.2011355964478363"
"weighted_lm_with_occupation_fixed_effects_sensitivity","informal_proxyInformal/autonomo proxy","-0.187190859605267","0.003576712789413174","-52.336005328507","0","-0.1942011258545219","-0.18018059335601208","-0.1707145558124401","-0.17650773797322583","-0.16488061921946884"
"weighted_lm_with_occupation_fixed_effects_sensitivity","pmin(hours, 80)","0.02073528316414536","1.228748093779347e-4","168.75129466421706","0","0.020494451657736626","0.020976114670554095","0.020951752745226315","0.020705905001771496","0.021197659703693805"
