occupation,occupation_label,workers,mean_income,mean_income_low,mean_income_upp,mean_hourly_income,mean_hours,sample_n,p10,p25,p50,p75,p90,hourly_p50,gini_within,top10_income_share,share_Homem,share_Mulher,share_brancaamarela,share_pretapardaindigena,share_outra,mean_Homem,mean_Mulher,gender_gap_women_vs_men,mean_median_ratio,p90_p50_ratio,p50_p10_ratio,ci_relative_width,wage_anatomy_type
1120,1120 - Diretores gerais e gerentes gerais,110297.50111861,22415.826972145624,15720.681885239112,29110.972059052136,121.818277801929,45.38590231223968,219,3500,6000,11000,30000,50000,62.98551333193365,0.5486343515711893,0.39552271800058636,0.6943562166336154,0.30564378336638465,0.7954457565810323,0.20455424341896758,NA,26712.10174288616,12655.624874876521,-0.5262212986199446,2.0378024520132385,4.545454545454546,3.142857142857143,0.5973587407884652,elite_de_cauda_longa
2212,2212 - Médicos especialistas,409320.57507415,19292.810581857895,17601.207774312377,20984.413389403413,104.27333663985122,46.10033295701483,837,6000,10000,15000,25000,35000,77.9445727482679,0.38477981225125124,0.28799963155804703,0.5558183425373768,0.4441816574626231,0.8580387285656149,0.14196127143438508,NA,21941.45511726084,15978.47917959321,-0.27176756991730655,1.2861873721238597,2.3333333333333335,2.5,0.17536095120699793,meio_heterogeneo
3355,3355 - Inspetores de polícia e detetives,74244.67810698,14251.602637915712,12230.087518265003,16273.11775756642,80.14490898558742,42.87107671930723,176,6000,7500,11000,17000,30000,62.98551333193365,0.35170002819027935,0.24794127036985392,0.78145993968644345,0.21854006031355652,0.4961278354651124,0.5038721645348877,NA,14427.447061340756,13622.814614672876,-0.05577095124638809,1.2956002398105193,2.727272727272727,1.8333333333333333,0.283689514928316,meio_heterogeneo
2619,2619 - Profissionais em direito não classificados anteriormente,167669.29318292,13703.883693588037,12577.111721058256,14830.655666117818,86.83011723973324,38.177992076850124,447,3500,6000,12000,20000,25000,75.05773672055427,0.3815176829129938,0.2522865120951818,0.43538894292014846,0.5646110570798515,0.6694310206747737,0.3305689793252264,NA,14263.919245302995,13272.023063511157,-0.06953882483024176,1.141990307799003,2.0833333333333335,3.4285714285714284,0.1644456415019037,elite_estavel
1211,1211 - Dirigentes financeiros,129635.98912142,13693.364666337375,11068.018747870603,16318.710584804146,69.83205687875983,45.79155425483821,246,3000,5000,8000,19000,25000,43.30254041570439,0.47459398784326023,0.3509333523176861,0.5048935850349845,0.49510641496501545,0.7695437598376481,0.23045624016235186,NA,17344.939100157077,9969.606599006342,-0.42521524339534544,1.711670583292172,3.125,2.6666666666666665,0.38344789355105735,elite_de_cauda_longa
1330,1330 - Dirigentes de serviços de tecnologia da informação e comunicações,162993.26762521,13569.752465959535,11851.552314963394,15287.952616955676,74.77899102347429,42.49802350680345,250,4000,7000,10000,18000,25000,57.73672055427252,0.37052458206952943,0.25050787004964836,0.7927442063384643,0.20725579366153576,0.786423155586423,0.21357684441357708,NA,14382.910492967958,10459.45912573442,-0.2727856346705194,1.3569752465959535,2.5,2.5,0.2532397190451838,meio_heterogeneo
1349,1349 - Dirigentes e gerentes de serviços profissionais não classificados anteriormente,54317.291472360004,12839.541336413215,9554.252298136842,16124.830374689587,72.71469275317384,42.89255254069949,127,3000,5000,8000,15000,33500,40.415704387990765,0.48510481926513305,0.3371158972777935,0.743736827160406,0.2562631728395941,0.5763965096372967,0.4236034903627034,NA,14630.121668018772,7642.850294748308,-0.4775948916778002,1.6049426670516518,4.1875,2.6666666666666665,0.5117455448286493,elite_de_cauda_longa
2211,2211 - Médicos gerais,245907.69924483,12550.540803705795,11427.335060449326,13673.746546962264,72.14366490090971,42.88489055782472,544,3500,6000,12000,15100,20000,69.28406466512702,0.34555946481920763,0.23982442925134667,0.46079895351248273,0.5392010464875172,0.7271321504788113,0.2728678495211887,NA,14517.779345268957,10869.346994519237,-0.2513078800814442,1.0458784003088162,1.6666666666666667,3.4285714285714284,0.17898921820561234,elite_estavel
1323,1323 - Dirigentes de empresas de construção,60353.59772545,12483.472837550951,9781.015389449332,15185.93028565257,65.73072913199026,47.69623882762486,133,3000,5000,10000,15000,25000,46.18937644341801,0.4323190440094479,0.2615350179849548,0.8613466976143284,0.13865330238567158,0.6919634936031249,0.30803650639687497,NA,12647.923349376259,11461.86784982617,-0.0937747222834473,1.248347283755095,2.5,3.3333333333333335,0.43296564718312724,topo_instavel_amostra_pequena
2144,2144 - Engenheiros mecânicos,117212.2445246,12137.43957911231,10581.638991065356,13693.240167159263,65.29391471693593,43.29525358066022,192,3100,5000,10000,15375,22000,57.73672055427252,0.37714132804764133,0.26574600977137236,0.8424022718290912,0.15759772817090875,0.7567539715299442,0.24324602847005586,NA,12671.451318848165,9283.003110021578,-0.26740805954772007,1.213743957911231,2.2,3.225806451612903,0.2563638859590087,meio_heterogeneo
1221,1221 - Dirigentes de vendas e comercialização,406342.57271141,12085.876203854694,10374.298803545384,13797.453604164004,62.85750328991365,44.75907223254392,692,2800,4000,8000,15000,25000,40.415704387990765,0.4909337001902966,0.36496467594527415,0.6519947527995034,0.3480052472004966,0.7344207428006233,0.26557925719937675,NA,13489.564139716103,9456.03893527371,-0.2990107880926153,1.5107345254818367,3.125,2.857142857142857,0.2832359642676823,elite_de_cauda_longa
2310,2310 - Professores de universidades e do ensino superior,324815.81991459,12046.959232660074,11264.76822776008,12829.150237560068,77.86553957985473,38.13125798760125,798,3100,6000,12000,16000,21000,69.28406466512702,0.3240588692187595,0.20589145530652905,0.5483796196250144,0.45162038037498575,0.7159299233915933,0.28407007660840666,NA,13035.737414104067,10846.336261253084,-0.16795376305157483,1.0039132693883395,1.75,3.870967741935484,0.12985700205233944,elite_estavel
1346,"1346 - Gerentes de sucursais de bancos, de serviços financeiros e de seguros",260669.8583817,11491.918684193337,10009.260609626344,12974.57675876033,64.72201199989802,40.81185859425681,457,3200,5000,8000,15000,20000,46.18937644341802,0.42642713962952494,0.3219161841463478,0.5250541711122841,0.4749458288877158,0.7283592277432985,0.2716407722567015,NA,13268.341744960228,9528.077165887858,-0.2818938983458916,1.436489835524167,2.5,2.5,0.258034905277624,elite_de_cauda_longa
2151,2151 - Engenheiros eletricistas,87198.2834168,10916.459279380617,9300.315210305773,12532.603348455461,58.676332626977626,43.469237607825626,172,4000,5000,9000,13200,20000,46.18937644341802,0.3736591405895676,0.25919901145701285,0.8779326458599841,0.12206735414001589,0.7244889725334729,0.2755110274665271,NA,11284.092938089783,8272.365017064518,-0.26690031157569527,1.2129399199311797,2.2222222222222223,2.25,0.29609308800839346,meio_heterogeneo
0110,0110 - Oficiais das forças armadas,69096.59864824,10723.102299065666,8966.81958640059,12479.385011730741,60.39208765380064,43.358642766172125,149,1700,7000,10000,14000,20000,51.96304849884527,0.3090133791604679,0.21239428621180548,0.7892623104695922,0.21073768953040786,0.592302945719781,0.40769705428021885,NA,10843.820950602827,10270.982500080938,-0.052826254982570875,1.0723102299065665,2,5.882352941176471,0.3275698885793723,elite_estavel
