occupation,occupation_label,workers,avg_income,avg_income_low,avg_income_upp,avg_hours,sample_n,median_income,rank
6210,6210 - Trabalhadores florestais qualificados e afins,75217.37952729,2347.141843330589,1927.1192384647763,2767.1644481964013,39.77546490773821,221,1621,197
8183,"8183 - Operadores de máquinas de embalagem, engarrafamento e etiquetagem",145445.01639337,2331.407553244954,2219.416070050741,2443.3990364391675,42.78273618443918,269,2200,198
4321,4321 - Trabalhadores de controle de abastecimento e estoques,1077251.09280834,2316.0333095140445,2250.8510844071957,2381.2155346208933,42.256895352871766,2048,2000,199
4224,4224 - Recepcionistas de hotéis,73067.87540326,2300.5449307082513,2105.9856754630064,2495.104185953496,43.873300101586544,159,2000,200
7511,7511 - Magarefes e afins,580708.65000319,2271.396318826522,2173.5412367153544,2369.2514009376896,43.76146974753992,1279,2000,201
7544,7544 - Fumigadores e outros controladores de pragas e ervas daninhas,50509.2854497,2271.0657546810926,1847.9885853508433,2694.142924011342,40.35573542439941,131,1870,202
9329,9329 - Trabalhadores elementares da indústria de transformação não classificados anteriormente,688430.03817398,2258.7631666272023,2167.5066718978737,2350.019661356531,42.41035888567235,1266,2000,203
5329,5329 - Trabalhadores de cuidados pessoais nos serviços de saúde não classificados anteriormente,55438.43006829,2251.8314985948437,2047.7386693970195,2455.924327792668,39.402552873008304,126,1800,204
3344,3344 - Secretários de medicina,83731.31629063,2237.6505861074747,1903.9076942109994,2571.39347800395,40.56701794039554,158,2000,205
3251,3251 - Dentistas auxiliares e ajudantes de odontologia,106149.60785451,2231.018616363757,2034.812020363753,2427.2252123637604,38.533571925890854,262,2000,206
4229,4229 - Trabalhadores de serviços de informação ao cliente não classificados anteriormente,128713.05916909,2216.678696633233,2065.807026550479,2367.550366715987,40.54280436854435,278,2000,207
5153,5153 - Porteiros e zeladores,844548.28147974,2213.3613141390947,2147.5258401427664,2279.196788135423,42.00383471992976,1716,2000,208
7234,7234 - Reparadores de bicicletas e afins,52352.43888578,2207.885331429559,1703.5369857417886,2712.233677117329,41.85353470394628,114,1621,209
9411,9411 - Preparadores de comidas rápidas,143548.95861134,2202.873379017625,1853.1264615255086,2552.620296509742,41.24360444580089,311,1800,210
9312,"9312 - Trabalhadores elementares de obras públicas e da manutenção de estradas, represas e similares",47028.54296387,2191.5505281151804,1959.2865648911957,2423.814491339165,41.73462494494911,98,2000,211
5142,5142 - Especialistas em tratamento de beleza e afins,1423666.00279617,2181.5987286098966,2075.5609756864105,2287.6364815333827,31.7525383719988,2823,1621,212
5223,5223 - Balconistas e vendedores de lojas,3589900.03548287,2166.607667581564,2102.0627226217994,2231.1526125413284,42.50816768918692,7121,1800,213
5245,5245 - Frentistas de posto de gasolina,338240.97015019,2161.783534192058,2048.2373257455192,2275.329742638597,44.61701124665451,704,2000,214
5120,5120 - Cozinheiros,1545001.09472326,2147.896668712193,2023.1414834142893,2272.6518540100965,39.36887835594462,3647,1800,215
5242,5242 - Demonstradores de lojas,147150.08251563,2137.6534246230676,2011.478828980957,2263.8280202651786,43.20586253862163,297,1805,216
7119,7119 - Outros trabalhadores qualificados e operários da construção não classificados anteriormente,204032.34714202,2135.096732685614,1949.5947610619696,2320.598704309258,38.148674889982104,535,1800,217
3255,3255 - Técnicos e assistentes fisioterapeutas,44983.25462317,2129.1091020242984,1860.1733376832638,2398.044866365333,29.733989708267426,115,2000,218
9333,9333 - Carregadores,823370.1813989,2105.582263947281,1776.6240143658786,2434.5405135286833,39.68636076582612,1658,1700,219
6112,"6112 - Agricultores e trabalhadores qualificados no cultivo de hortas, viveiros e jardins",666603.99466031,2072.2295601080123,1893.9561807239158,2250.5029394921085,39.170129009864304,1898,1621,220
9122,9122 - Lavadores de veículos,318497.01684029,2057.8254113750254,1872.1320865399343,2243.5187362101165,40.53321648932841,657,1621,221
7314,7314 - Ceramistas e afins (preparação e fabricação),64860.881676799996,2056.1951857517715,1808.3203944513107,2304.0699770522324,40.44892808347015,178,1621,222
7319,7319 - Artesãos não classificados anteriormente,54019.34009244,2041.7793453681466,1419.7133740670893,2663.845316669204,36.744638218323026,126,1600,223
7512,"7512 - Padeiros, confeiteiros e afins",892610.9719039,2035.053365972073,1949.2253894203188,2120.881342523827,37.87543354723844,1941,1800,224
8156,8156 - Operadores de máquinas para fabricação de calçados e afins,72486.55313634,2028.8911840247326,1896.2356866453645,2161.5466814041006,42.41633563818474,137,1800,225
9520,9520 - Vendedores ambulantes (exclusive de serviços de alimentação),202662.23040685,2026.3299203755685,1690.508328809191,2362.151511941946,37.108653638234095,410,1600,226
8321,8321 - Condutores de motocicletas,1111533.25026591,2023.8890863863337,1949.5593630413919,2098.2188097312755,43.800896353472936,2286,1700,227
4226,4226 - Recepcionistas em geral,1103305.42859731,2018.1030701814313,1912.626902295997,2123.5792380668654,40.068407152863145,2160,1700,228
7536,7536 - Sapateiros e afins,137307.48909656,2010.0445994396678,1779.855631726628,2240.2335671527076,41.54018907297947,234,1800,229
6114,6114 - Agricultores e trabalhadores qualificados de cultivos mistos,25324.93407018,1992.2734776731766,1079.9765855866883,2904.5703697596646,42.091290715232006,101,1500,230
8153,8153 - Operadores de máquinas de costura,726647.85242741,1990.217701718157,1858.7427933670529,2121.6926100692613,40.797699669285294,1446,1621,231
4222,4222 - Trabalhadores de centrais de atendimento,416885.47094802,1983.8826668111149,1868.7405145895798,2099.0248190326497,39.18818726217367,699,1621,232
5312,5312 - Ajudantes de professores,507803.12746281,1949.953300356996,1872.1240614256626,2027.7825392883292,34.997057255359024,1183,1621,233
5211,5211 - Vendedores de quiosques e postos de mercados,412782.4433565,1948.114336750624,1741.6746148491097,2154.5540586521383,34.901030623002136,982,1600,234
9321,9321 - Empacotadores manuais,215029.24148497,1943.1108971803799,1827.361576417844,2058.860217942916,41.20356821141705,426,1800,235
4212,4212 - Coletores de apostas e de jogos,60256.98512017,1904.059530958732,1523.892363605543,2284.2266983119207,40.352175335515525,120,1621,236
8160,8160 - Operadores de máquinas para elaborar alimentos e produtos afins,251520.82655543,1902.6400674941617,1675.223255950726,2130.0568790375974,39.78670483375957,660,1700,237
4214,4214 - Cobradores e afins,68896.66759378,1883.585235103634,1028.1439635090228,2739.026506698245,33.45997263890018,94,1621,238
9611,9611 - Coletores de lixo e material reciclável,273260.40178069,1862.018358191447,1771.8525924107566,1952.1841239721375,39.14475381266678,617,1621,239
5230,5230 - Caixas e expedidores de bilhetes,1086789.80091906,1859.450546143898,1828.7872698383353,1890.1138224494607,43.25593286332334,2199,1700,240
9112,"9112 - Trabalhadores de limpeza de interior de edifícios, escritórios, hotéis e outros estabelecimentos",2784711.76079787,1826.1743108757728,1777.7284465471728,1874.6201752043728,39.49940576914307,6331,1621,241
7531,"7531 - Alfaiates, modistas, chapeleiros e peleteiros",458897.5842062,1813.116903649071,1613.7010387189694,2012.5327685791726,34.22741455809828,984,1518,242
5132,5132 - Atendentes de bar,166281.85424505,1800.0515322415106,1468.2314961315267,2131.8715683514947,41.35771489127137,322,1620,243
9121,9121 - Lavadeiros de roupas e passadeiros manuais,69842.50557345,1799.857082100643,1560.4995582809806,2039.2146059203055,37.219748005889755,150,1621,244
9334,9334 - Repositores de prateleiras,742454.85382464,1785.0725977791717,1723.5742709323756,1846.5709246259678,42.2917260758731,1505,1621,245
5131,5131 - Garçons,478585.04948693997,1779.4311640600138,1691.2838763515854,1867.5784517684422,38.12168247324905,975,1621,246
7513,7513 - Trabalhadores da pasteurização do leite e fabricação de laticínios e afins,77713.92664377,1742.8585468513638,1538.6967278714435,1947.0203658312842,39.355150302445985,273,1621,247
9621,"9621 - Mensageiros, carregadores de bagagens e entregadores de encomendas",59665.57644231,1718.259257597461,1486.6880570102492,1949.830458184673,39.113764131449116,115,1621,248
9412,9412 - Ajudantes de cozinha,775770.79307048,1703.307568475927,1643.0155737960115,1763.5995631558424,38.57714476288196,1585,1621,249
9612,9612 - Classificadores de resíduos,290865.32150037,1670.4789438456785,1113.6957666597982,2227.2621210315588,34.75808707278179,646,900,250
7317,"7317 - Artesãos de pedra, madeira, vime e materiais semelhantes",64425.28648338,1665.679473128268,1378.0635214989939,1953.2954247575422,32.18280856850358,188,1500,251
5322,5322 - Trabalhadores de cuidados pessoais a domicílios,710613.40180004,1661.7499067123347,1601.0156879615715,1722.4841254630978,40.35596389262287,1505,1621,252
5212,5212 - Vendedores ambulantes de serviços de alimentação,288654.39144539,1645.6588584162716,1419.7669103755493,1871.550806456994,34.68548692394376,635,1200,253
5311,5311 - Cuidadores de crianças,978696.38479458,1619.9035932872698,1524.9303906650161,1714.8767959095235,36.19875838998494,2111,1621,254
5246,5246 - Balconistas dos serviços de alimentação,459577.02937368,1581.5720418900532,1497.046106447039,1666.0979773330675,39.67004400757258,861,1621,255
9313,9313 - Trabalhadores elementares da construção de edifícios,1719027.93801199,1556.6439740481308,1506.7935553495342,1606.4943927467273,37.538190761281044,3838,1600,256
9214,9214 - Trabalhadores elementares da jardinagem e horticultura,52230.61327807,1408.9136986435842,1243.9148126542639,1573.9125846329046,35.18336675411489,139,1602,257
9629,9629 - Outras ocupações elementares não classificadas anteriormente,240786.06102295,1351.7681522779799,1224.738705152232,1478.7975994037279,31.633075375654453,670,1100,258
9111,9111 - Trabalhadores dos serviços domésticos em geral,3914602.48839807,1349.5318473654202,1323.7753887856943,1375.288305945146,29.93309833972947,9780,1500,259
9211,9211 - Trabalhadores elementares da agricultura,1230077.03485022,1293.4424904257714,1242.70298578898,1344.181995062563,35.0271950443418,3767,1300,260
9212,9212 - Trabalhadores elementares da pecuária,478827.37268919003,1254.7427124138671,1192.5583902428598,1316.9270345848745,35.29440382927564,2031,1100,261
9215,9215 - Trabalhadores florestais elementares,145910.90075706,1233.5362388055942,1083.0616649689396,1384.0108126422488,32.626452161571194,536,1000,262
7533,"7533 - Costureiros, bordadeiros e afins",143406.79075051,1212.1838029812034,1038.3166491912805,1386.0509567711263,25.87632163186333,334,800,263
7318,"7318 - Artesãos de tecidos, couros e materiais semelhantes",194020.54618515001,1205.9430194368247,1029.4030179842946,1382.4830208893547,28.98749029717,495,1000,264
7514,"7514 - Trabalhadores da conservação de frutas, legumes e similares",32239.887033760002,1135.237620886329,626.8438470174364,1643.6313947552217,29.597122958179447,102,600,265
6225,6225 - Pescadores,269951.931894,1063.9633358845049,843.8256085633462,1284.1010632056634,33.044214269242374,1002,720,266
