occupation,occupation_label,workers,avg_income,avg_income_low,avg_income_upp,avg_hours,sample_n,median_income,rank
1345,1345 - Dirigentes de serviços de educação,147204.42970383,6831.4171782072035,6282.327559805311,7380.5067966090965,42.24443871370349,376,6000,47
1411,1411 - Gerentes de hotéis,38643.93361108,6652.157023467108,4920.256772014316,8384.0572749199,46.000619425964004,99,4000,48
2250,2250 - Veterinários,160628.64904678,6610.375892243988,4946.371998678634,8274.379785809344,40.69989944848636,314,4000,49
1439,1439 - Gerentes de serviços não classificados anteriormente,48456.95541218,6546.01925977922,5139.8881614223665,7952.150358136074,45.3515022556582,87,5000,50
3322,3322 - Representantes comerciais,300939.26192089,6414.625648845508,5403.112737503693,7426.1385601873235,42.75790298526195,577,5000,51
7111,7111 - Construtores de casas,47715.46793433,6390.820779221779,5003.3103295125275,7778.331228931031,41.84444856472549,121,5000,52
2641,2641 - Escritores,43269.24788357,6355.971935410682,4773.031241118873,7938.91262970249,35.516072552043575,82,4000,53
1412,1412 - Gerentes de restaurantes,238398.63797771,6186.989410238282,5429.553724429864,6944.425096046701,47.01029443870229,504,4400,54
2431,2431 - Profissionais da publicidade e da comercialização,478678.50413244,6006.785419777256,5483.297991738142,6530.27284781637,41.64468891862165,751,4500,55
1420,1420 - Gerentes de comércios atacadistas e varejistas,559533.20322096,5965.2907280863965,5489.649861147187,6440.931595025606,46.220364311094635,1254,4000,56
2133,2133 - Profissionais da proteção do meio ambiente,38919.87209537,5869.1174547074625,4837.115140194616,6901.119769220309,37.329572082392986,81,4400,57
2262,2262 - Farmacêuticos,246391.09708887,5719.614046635834,5123.58541110613,6315.642682165538,43.56496522632131,448,4500,58
3334,3334 - Agentes imobiliários,400421.72429638,5707.986405635815,5195.548678219328,6220.424133052301,39.77803814500752,817,4000,59
2634,2634 - Psicólogos,453534.58821251,5660.702203943763,5236.008971573804,6085.395436313723,33.47347552136556,901,4500,60
2221,2221 - Profissionais de enfermagem,580308.54774627,5580.15937318647,5288.060023700598,5872.258722672341,43.14359165082477,1203,4750,61
4211,4211 - Caixas de banco e afins,42373.9952153,5525.602480359391,4085.603653837162,6965.60130688162,37.92729219589241,91,4500,62
2330,2330 - Professores do ensino médio,680302.02270887,5510.410276382853,5313.43445068992,5707.386102075787,38.523369090991366,1621,5000,63
2351,2351 - Especialistas em métodos pedagógicos,370541.52028385,5399.788747104994,4950.350065083565,5849.227429126424,39.64492166860212,876,4500,64
3321,3321 - Agentes de seguros,186099.56500817,5397.927601488103,4514.372077711603,6281.483125264604,41.095119580791994,313,3500,65
3323,3323 - Agentes de compras,170423.67359353,5354.831961360737,4839.764826803186,5869.899095918288,42.401197913735245,293,4000,66
3341,3341 - Supervisores de secretaria,471419.44635902,5273.208460641191,4917.146390191758,5629.270531090624,42.132018781245634,932,4000,67
3343,3343 - Secretários executivos e administrativos,301654.38832178,5229.875036055336,4447.0425371945485,6012.707534916123,38.296909906547356,609,3500,68
4221,4221 - Trabalhadores de agências de viagem,71370.18724708,5208.4904634232,3197.295934555138,7219.684992291262,39.745216989536985,124,3700,69
3332,3332 - Organizadores de conferências e eventos,185262.94610864,5171.045224828852,4095.0923827309266,6246.998066926777,36.893603787349406,360,3200,70
2269,2269 - Profissionais da saúde não classificados anteriormente,80876.55619234,5144.620007829418,4029.259549274432,6259.980466384403,35.62278156615453,143,4500,71
2264,2264 - Fisioterapeutas,318681.9764868,4962.66164523136,4619.297754817402,5306.025535645318,38.611598386555706,641,4000,72
2423,2423 - Especialistas em políticas e serviços de pessoal e afins,282434.51767728,4925.611956038187,4289.299976334025,5561.9239357423485,41.848909478972715,458,3500,73
2642,2642 - Jornalistas,239030.15675017,4922.186050469087,4118.986980600758,5725.385120337415,37.82484661224199,427,3500,74
2265,2265 - Dietistas e nutricionistas,155449.99568916,4881.518825962199,4039.5170057529913,5723.520646171407,36.31500250886334,343,3500,75
3432,3432 - Desenhistas e decoradores de interiores,47035.57581053,4875.603512499091,3576.9843018182783,6174.222723179904,39.61100503806878,90,3500,76
3142,3142 - Técnicos agropecuários,39635.02667869,4858.700727656625,4090.4879609335267,5626.913494379723,41.66106877169272,120,3500,77
3123,3123 - Supervisores da construção,171236.21593811,4805.940523900432,4340.003471018792,5271.877576782072,42.8589569539157,313,4000,78
5419,5419 - Trabalhadores dos serviços de proteção e segurança não classificados anteriormente,56095.26123386,4797.326536644606,3984.016527125422,5610.63654616379,39.14319635154959,113,3200,79
3257,"3257 - Inspetores de saúde laboral, ambiental e afins",203011.57832504,4792.806820563274,4321.077427293363,5264.536213833186,42.04261397577851,396,3500,80
4312,"4312 - Trabalhadores de serviços estatísticos, financeiros e de seguros",126725.75630565001,4762.9462853555115,4312.407633315328,5213.484937395695,38.9440687227641,248,4000,81
3313,3313 - Contabilistas e guarda livros,167353.98935025,4727.08555508203,3923.310156084716,5530.860954079344,39.03556991804027,330,3000,82
3122,3122 - Supervisores de indústrias de transformação,279981.38158167,4570.271942829773,4193.949739285175,4946.594146374371,43.086505078391234,496,4000,83
2166,2166 - Desenhistas gráficos e de multimídia,159439.77564764,4514.044009656039,3929.4370375711737,5098.650981740904,38.56338830306721,295,3000,84
2320,2320 - Professores de formação profissional,111839.36838181,4450.922574291319,3537.907786815127,5363.93736176751,38.755385946299214,213,3000,85
2341,2341 - Professores do ensino fundamental,1488103.02378275,4409.453173878678,4271.734973371885,4547.171374385472,35.367570759727464,3798,4000,86
3115,3115 - Técnicos em engenharia mecânica,214570.7662641,4403.175588615615,3900.501767412583,4905.8494098186475,42.126746869819286,403,3000,87
