group,weight,mean_income,theil_within,group_variable
9111,3914602.48839807,1349.5318473654202,0.1929274712550592,occupation
4110,3836980.85043544,2956.106292039745,0.25724468355478203,occupation
5223,3589900.03548287,2166.607667581564,0.17017863728213525,occupation
5221,3217584.23401134,4152.792693868725,0.4775447280749786,occupation
9112,2784711.76079787,1826.1743108757728,0.09272100191152352,occupation
7112,2695851.92784956,2649.4257110784047,0.2047757615380986,occupation
8322,2149570.79427698,2973.173188993191,0.1729823931411581,occupation
6111,2039652.8498376,2521.1774256742406,0.7311147467320064,occupation
8332,2017116.97154191,3626.1140110124015,0.22251892506835746,occupation
9313,1719027.93801199,1556.6439740481308,0.1663140274342923,occupation
5120,1545001.09472326,2147.896668712193,0.22891015344714616,occupation
2341,1488103.02378275,4409.453173878678,0.15255417804087235,occupation
5142,1423666.00279617,2181.5987286098966,0.3745184075986828,occupation
7231,1377066.45814616,2959.682958323767,0.26564175972285037,occupation
5414,1332754.77745464,2536.174608874184,0.12079026296318474,occupation
6121,1313714.50379733,2987.708331154821,0.5935294985534182,occupation
9211,1230077.03485022,1293.4424904257714,0.21537097749975556,occupation
3221,1162559.42251963,3157.489319173764,0.10465433020648929,occupation
5141,1139153.72010663,2597.13466603297,0.295905526835122,occupation
8321,1111533.25026591,2023.8890863863337,0.15938279369405967,occupation
2611,1110566.6313682,9325.25113680475,0.45480753852533257,occupation
4226,1103305.42859731,2018.1030701814311,0.1612475906883033,occupation
5230,1086789.80091906,1859.450546143898,0.04653142119148591,occupation
5243,1081210.0521607,2688.4983810083345,0.44461720311711495,occupation
4321,1077251.09280834,2316.0333095140445,0.08439591399571113,occupation
5311,978696.38479458,1619.9035932872698,0.25794959442932586,occupation
7512,892610.9719039,2035.0533659720727,0.2232932160538067,occupation
2342,851723.37099562,3814.9471806491965,0.16091849962650806,occupation
5153,844548.28147974,2213.3613141390947,0.0646113083502961,occupation
9333,823370.1813989,2105.582263947281,0.3693057639920013,occupation
9412,775770.79307048,1703.307568475927,0.10336009866474628,occupation
9334,742454.85382464,1785.0725977791715,0.08508014272266763,occupation
8153,726647.85242741,1990.2177017181568,0.20859877410793806,occupation
5322,710613.40180004,1661.749906712335,0.1536880062954482,occupation
9329,688430.03817398,2258.7631666272023,0.09183350245722877,occupation
2330,680302.02270887,5510.410276382853,0.14716037768472848,occupation
6112,666603.99466031,2072.2295601080123,0.3061092668013009,occupation
7131,649009.37591804,2538.835564682564,0.1973405696736272,occupation
2411,640732.48662686,8143.502040718208,0.33823870090519953,occupation
7233,603343.6837078,3977.7063199737936,0.1918678516538094,occupation
7511,580708.65000319,2271.396318826522,0.10218279010458652,occupation
2221,580308.54774627,5580.15937318647,0.15676245462973568,occupation
5249,562617.29141028,2980.385631213017,0.6617913925862484,occupation
1420,559533.20322096,5965.2907280863965,0.3861385039996004,occupation
2421,555172.12189858,8764.278159594798,0.38162127996849776,occupation
1219,527105.5108253,9802.336421361282,0.40588614172099025,occupation
5312,507803.12746281,1949.953300356996,0.13020231911326294,occupation
9212,478827.37268919003,1254.7427124138671,0.21687338848435408,occupation
2431,478678.50413244,6006.785419777256,0.33015138557577894,occupation
5131,478585.04948694,1779.4311640600135,0.14378054535662008,occupation
4120,474683.04149711,2702.0101142244625,0.18591995711443607,occupation
3341,471419.44635902,5273.208460641192,0.23607685884639854,occupation
5246,459577.02937368,1581.5720418900532,0.11096378774331635,occupation
7531,458897.5842062,1813.116903649071,0.42666330936236446,occupation
3253,457814.86487582,3466.6203425553135,0.09869306409091065,occupation
8331,456416.15406406,3115.8190209413574,0.09223031085859408,occupation
2634,453534.58821251,5660.702203943763,0.24686642729028763,occupation
7411,438689.38447121,2879.058847837003,0.18007868014193554,occupation
7213,433290.30076183,3083.610668473812,0.24867251526609677,occupation
3411,426423.61644872,7190.5497561375105,0.5274625817672672,occupation
4222,416885.47094802,1983.8826668111149,0.11429780434194946,occupation
2511,415968.7607568,9427.044488367543,0.23715770008244452,occupation
3423,414594.63931254,3522.4703902124897,0.32233119428709756,occupation
5211,412782.4433565,1948.1143367506243,0.4002635198306542,occupation
2212,409320.57507415,19292.810581857895,0.26674368098937534,occupation
1221,406342.57271141,12085.876203854694,0.47209702201600334,occupation
3334,400421.72429638,5707.986405635815,0.31094954591942764,occupation
2261,393535.2815019,7974.280323612642,0.3384626890462936,occupation
0412,389680.84417541,7322.979758604244,0.09905756309925966,occupation
